ride_id,agenda_day,passenger_id,booked_depart_after,booked_depart_before,pickup_time,booked_arrive_before,dropoff_time,cancelled_at,origin_id,destination_id,ride_status,total_passengers,passenger_type_ids,passenger_type_counts,passenger_types,shift_id
1b867cb5-61c2-4439-ac7b-ab0eca2c8021,2025-04-01,2721581,2025-04-01 15:15,2025-04-01 15:19,2025-04-01 15:20,2025-04-01 15:25,2025-04-01 15:27,,451048bb-f8bc-4ed7-8310-249edebc0f15,d9efad18-c918-4c96-9518-588bf2b84aa2,COMPLETED,1,4ca36e17-cf2d-401b-ac1d-bbc308a9e18b,1,"{""4ca36e17-cf2d-401b-ac1d-bbc308a9e18b"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
1cd9992b-9043-4e71-9f4f-999598116f30,2025-04-01,2721674,2025-04-01 18:20,2025-04-01 18:25,2025-04-01 18:21,2025-04-01 18:35,2025-04-01 18:31,,451048bb-f8bc-4ed7-8310-249edebc0f15,9430dbd7-f075-42f0-8d74-c4d4e4ca718a,COMPLETED,1,a6beabea-3492-4cf9-9c81-86494f55ecc8,1,"{""a6beabea-3492-4cf9-9c81-86494f55ecc8"":1}",42b4b99f-08b4-42f9-bec5-d00a6fffd4fa
22c32e75-5b08-4330-ad11-6e5368904e44,2025-04-01,2721684,2025-04-01 19:00,2025-04-01 19:05,2025-04-01 19:01,2025-04-01 19:18,2025-04-01 19:14,,95ba0c99-3e86-4886-916e-97fa9c191513,39c36c68-a90f-418d-bc86-aca33132b96d,COMPLETED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
43d54607-418e-41aa-9aea-784bdfacb321,2025-04-01,2721720,2025-04-02 00:15,2025-04-02 00:20,2025-04-02 00:16,2025-04-02 00:27,2025-04-02 00:23,,999f4d52-419c-48d2-a439-75f6f17dd62c,07285951-c0c5-4528-8512-804ded890402,COMPLETED,1,a6beabea-3492-4cf9-9c81-86494f55ecc8,1,"{""a6beabea-3492-4cf9-9c81-86494f55ecc8"":1}",48d7ade0-5ee5-4770-984d-a42585d641d0
50026009-7c68-47fd-a756-ead93c36b61c,2025-04-01,2721915,2025-04-02 03:10,2025-04-02 03:15,2025-04-02 03:20,2025-04-02 03:25,2025-04-02 03:30,,a698d7e0-bf82-42cb-aae6-daf9dbe44dea,51a9c1fe-c4ef-44c2-9d5e-31e293158764,COMPLETED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
5a72153c-0888-468a-afb4-9a2a7e0dc253,2025-04-01,2721584,2025-04-01 14:15,2025-04-01 14:20,2025-04-01 14:16,2025-04-01 14:30,2025-04-01 14:26,,cbd92505-fb90-43c8-af8f-c6d1d0b5837c,568c822c-3262-457c-931b-4608d3497d53,COMPLETED,1,a6beabea-3492-4cf9-9c81-86494f55ecc8,1,"{""a6beabea-3492-4cf9-9c81-86494f55ecc8"":1}",42b4b99f-08b4-42f9-bec5-d00a6fffd4fa
87b7d929-fd39-410c-a2bd-aa11a99e8bef,2025-04-01,2721670,2025-04-01 18:10,2025-04-01 18:15,2025-04-01 18:18,2025-04-01 18:23,2025-04-01 18:26,,40923e86-02fa-49ac-b43f-c34721875d26,d94e1035-a517-46e9-a780-31c5a2d9480b,COMPLETED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
8a407691-592b-477b-9b15-a098e01afd48,2025-04-01,2721446,2025-04-01 08:25,2025-04-01 08:29,,2025-04-01 08:35,,2025-04-01 08:40,14051f94-135c-4fc6-b118-af4c9e5eef11,cb89b8e0-f18c-4c22-ab10-8174c5b7b01f,ABANDONED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",
952216e9-de1b-4cc4-9ad3-8230d97ed4a3,2025-04-01,2721989,2025-04-02 06:15,2025-04-02 06:19,2025-04-02 06:16,2025-04-02 06:26,2025-04-02 06:23,,abc1ac8b-4531-40f2-b977-0c7952fa2771,f5e0607c-3369-4a54-8bd8-84b5b571b67e,COMPLETED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
b1837f37-497b-44e9-89e1-22445732bf26,2025-04-01,2721592,2025-04-01 14:40,2025-04-01 14:45,2025-04-01 14:41,2025-04-01 14:54,2025-04-01 14:50,,6e835893-0a93-4d82-ac24-768d345ee457,53468e1c-42cc-4794-ac97-b78e7c8bf4d9,COMPLETED,1,970f7f71-8615-41b5-91bf-e7ca0df96a6e,1,"{""970f7f71-8615-41b5-91bf-e7ca0df96a6e"":1}",5722b4ad-c948-4c66-b39e-afaabea0867e
